Price,Mileage,Make,Model,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather,Make_Num,Type_Num
17314.10313,8221,Buick,Century,Sedan,6,3.1,4,1,1,1,1,1
17542.03608,9135,Buick,Century,Sedan,6,3.1,4,1,1,0,1,1
16218.84786,13196,Buick,Century,Sedan,6,3.1,4,1,1,0,1,1
16336.91314,16342,Buick,Century,Sedan,6,3.1,4,1,0,0,1,1
16339.17032,19832,Buick,Century,Sedan,6,3.1,4,1,0,1,1,1
15709.05282,22236,Buick,Century,Sedan,6,3.1,4,1,1,0,1,1
15230.00339,22576,Buick,Century,Sedan,6,3.1,4,1,1,0,1,1
15048.04218,22964,Buick,Century,Sedan,6,3.1,4,1,1,0,1,1
14862.09387,24021,Buick,Century,Sedan,6,3.1,4,1,0,1,1,1
15295.01827,27325,Buick,Century,Sedan,6,3.1,4,1,1,1,1,1
21335.85248,10237,Buick,Lacrosse,Sedan,6,3.6,4,1,0,0,1,1
20538.08751,15066,Buick,Lacrosse,Sedan,6,3.6,4,1,1,0,1,1
20512.09409,16633,Buick,Lacrosse,Sedan,6,3.6,4,1,1,0,1,1
19924.15905,19800,Buick,Lacrosse,Sedan,6,3.6,4,1,1,1,1,1
19774.24907,23359,Buick,Lacrosse,Sedan,6,3.6,4,1,1,1,1,1
19344.16554,23765,Buick,Lacrosse,Sedan,6,3.6,4,1,1,0,1,1
19105.13012,24008,Buick,Lacrosse,Sedan,6,3.6,4,1,0,0,1,1
18543.42705,26034,Buick,Lacrosse,Sedan,6,3.6,4,1,1,1,1,1
17808.199,32896,Buick,Lacrosse,Sedan,6,3.6,4,1,1,0,1,1
17968.83828,34665,Buick,Lacrosse,Sedan,6,3.6,4,1,1,1,1,1
22358.87768,8970,Buick,Lacrosse,Sedan,6,3.6,4,1,1,0,1,1
23785.92253,10577,Buick,Lacrosse,Sedan,6,3.6,4,1,1,1,1,1
22926.09037,14363,Buick,Lacrosse,Sedan,6,3.6,4,1,1,1,1,1
21895.75878,16508,Buick,Lacrosse,Sedan,6,3.6,4,1,0,1,1,1
21273.06171,18908,Buick,Lacrosse,Sedan,6,3.6,4,1,0,0,1,1
21460.01395,19467,Buick,Lacrosse,Sedan,6,3.6,4,1,0,1,1,1
21183.12359,21394,Buick,Lacrosse,Sedan,6,3.6,4,1,0,0,1,1
20406.0995,22596,Buick,Lacrosse,Sedan,6,3.6,4,1,0,0,1,1
21058.13958,24469,Buick,Lacrosse,Sedan,6,3.6,4,1,1,1,1,1
19556.89932,25245,Buick,Lacrosse,Sedan,6,3.6,4,1,0,0,1,1
23447.68656,15755,Buick,Lacrosse,Sedan,6,3.8,4,1,1,0,1,1
23547.23944,16235,Buick,Lacrosse,Sedan,6,3.8,4,1,1,0,1,1
23016.00801,18147,Buick,Lacrosse,Sedan,6,3.8,4,1,1,1,1,1
22230.0275,22102,Buick,Lacrosse,Sedan,6,3.8,4,1,0,1,1,1
22625.07357,23612,Buick,Lacrosse,Sedan,6,3.8,4,1,0,1,1,1
21799.1721,24439,Buick,Lacrosse,Sedan,6,3.8,4,1,0,0,1,1
21341.25721,25212,Buick,Lacrosse,Sedan,6,3.8,4,1,1,1,1,1
21683.03146,26779,Buick,Lacrosse,Sedan,6,3.8,4,1,1,0,1,1
20986.01602,27096,Buick,Lacrosse,Sedan,6,3.8,4,1,0,0,1,1
20902.10379,29649,Buick,Lacrosse,Sedan,6,3.8,4,1,1,1,1,1
20698.07708,2992,Buick,Lesabre,Sedan,6,3.8,4,1,0,1,1,1
20099.25684,10036,Buick,Lesabre,Sedan,6,3.8,4,1,1,1,1,1
18145.12649,18339,Buick,Lesabre,Sedan,6,3.8,4,1,1,0,1,1
17944.85692,19592,Buick,Lesabre,Sedan,6,3.8,4,1,0,0,1,1
19027.86231,21797,Buick,Lesabre,Sedan,6,3.8,4,1,0,1,1,1
