Year,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
1998,0.001402528,0.000949513,0.52053013,0.0042389,0.493033341,0.035752704,0.050057715,0.001899234,0.176245471,0.005364961,0.002001994,0.000760955,0.177965001,0.000973654,0.000744766,0.000614183,0.001416008,0.001144641,0.298027672,0.000663014,0.001378826,0.101369395,0.212398486,0.00223597,0.001973338,0.008202503,0.002469914,0.129229659,0.060922876,0.00200103
1999,0.000908205,0.36215656,0.207176856,0.005151913,0.438405926,0.000425219,0.028057013,0.007189646,0.13805161,0.001217003,0.002840916,0.001165286,0.018214933,0.003858789,0.000777268,0.000781761,0.017581449,0.386824161,0.269418666,0.000425915,0.003956605,0.000273822,0.00071505,0.000461877,0.00136205,0.000524965,0.000521831,0.142022058,0.002192699,0.010356739
2000,0.002936648,0.001883036,0.159779556,0.003682827,0.002199151,0.002714674,0.343387763,0.020598266,0.001428696,0.002195242,0.002619682,0.00028128,0.000855863,0.001173165,0.000832915,0.006610876,0.002226329,0.134541856,0.302766557,0.023468165,0.006068917,0.00179656,0.001080017,0.124101909,0.321063884,0.043899629,0.001233138,0.001326227,0.002790898,0.003762789
2001,0.000919085,0.448928508,0.158145076,0.048863119,0.001304154,0.001396399,0.00518179,0.000724321,0.266971593,0.019228826,0.00253755,0.011894811,0.18269201,0.002565879,0.001417714,0.000807767,0.006390582,0.001512945,0.879561986,0.11655612,0.001937838,0.001390137,0.000355104,0.527340727,0.00109382,0.07498705,0.003320792,0.000556879,0.000711937,0.005101876
2002,0.664479134,0.282798349,0.526626273,0.005393738,0.01753551,0.016382319,0.004746476,0.00172736,0.000713044,0.001489133,0.0015313,0.001655334,0.001536139,0.069776444,0.010258834,0.003324845,0.397564961,0.007160011,0.184738566,0.157160156,0.030457247,0.00157849,0.000598999,0.001067093,0.890557555,0.212327116,0.001424903,0.005344954,0.001253256,0.000758919
2003,0.002306831,0.003578013,0.377841642,0.04303896,0.425636923,0.308842956,0.008735854,0.000102599,0.002491174,0.000995438,0.000407306,0.455632915,0.003107212,0.004857557,0.002730328,0.000839471,0.379729435,0.001226829,0.666618597,0.390051739,0.002943034,0.001686202,0.001724869,0.006286863,0.126994926,0.008971477,0.010382887,0.001071689,0.001465143,0.003288365
2004,0.43179518,0.006086618,0.082012512,0.002156196,0.233856603,0.001633712,0.002137863,0.000603359,0.005163076,0.001692734,0.002226285,0.018035739,0.284353426,0.001092443,0.160339018,0.00121701,0.249933122,0.000641714,0.100600031,0.00089408,0.001340488,0.002755441,0.001578298,0.000689379,0.000985083,0.284495938,0.006536716,0.001218502,0.000982042,0.012227491
2005,0.516465989,0.001139712,0.236784377,0.00715592,0.084977352,0.017965931,0.211002656,0.006153844,0.006743414,0.000447526,0.00285316,0.004906519,0.930897636,0.001017507,0.001833395,0.003163728,0.001552748,0.002364845,0.125586821,0.006094356,0.001800395,0.002208899,0.155027357,0.005820726,0.004959552,0.308886794,0.004513653,0.00230122,0.002195131,0.001820717
2006,0.006864622,0.004772772,0.001430576,0.003348901,0.000632599,0.016353739,0.001976676,0.000179308,0.001843619,0.003737684,0.293703917,0.002037219,0.001757744,0.003916265,0.225159323,0.001323263,0.226863303,0.527473013,0.256528661,0.073078809,0.000443316,0.000462753,0.455386923,0.004508977,0.008122228,0.427669329,0.001436449,0.003041183,0.009139538,0.001197908
2007,0.28330227,0.152772407,0.001499882,0.008254878,0.596439211,0.573790509,0.000554068,0.001561608,0.111464588,0.225452754,0.007150119,0.001027067,0.001278429,0.001691073,0.001801642,0.002229366,0.003215635,0.003128976,0.224798669,0.000667301,0.155486083,0.001969123,0.004583789,0.000810289,0.004323781,0.000663041,0.000500775,0.000740249,0.006145248,0.001635447
