Price,Mileage,Model_Num,Type_Num,Cylinder,Liter,Doors,Sound,Leather,Model,Type
35622.1395,10340,1,1,4,2,2,1,0,9_3,Convertible
34819.29712,12251,1,1,4,2,2,0,0,9_3,Convertible
34355.00373,17711,1,1,4,2,2,1,0,9_3,Convertible
32737.08455,19112,1,1,4,2,2,1,1,9_3,Convertible
33540.53611,20925,1,1,4,2,2,0,1,9_3,Convertible
31970.54208,21208,1,1,4,2,2,1,0,9_3,Convertible
33287.4096,21661,1,1,4,2,2,0,1,9_3,Convertible
32075.98487,23553,1,1,4,2,2,1,0,9_3,Convertible
31969.06981,24559,1,1,4,2,2,0,0,9_3,Convertible
27666.23108,35157,1,1,4,2,2,0,0,9_3,Convertible
29246.23734,3907,1,2,4,2,4,0,1,9_3,Sedan
26337.8306,16068,1,2,4,2,4,0,0,9_3,Sedan
26775.03209,16688,1,2,4,2,4,0,0,9_3,Sedan
25299.96964,19569,1,2,4,2,4,1,0,9_3,Sedan
24896.5976,21266,1,2,4,2,4,1,0,9_3,Sedan
25996.8064,21433,1,2,4,2,4,1,1,9_3,Sedan
24801.61719,26345,1,2,4,2,4,1,1,9_3,Sedan
24063.01268,27674,1,2,4,2,4,1,1,9_3,Sedan
23249.84169,27686,1,2,4,2,4,0,0,9_3,Sedan
22244.87655,50387,1,2,4,2,4,0,1,9_3,Sedan
37088.56241,3828,2,1,4,2,2,1,1,9_3 HO,Convertible
33381.81915,17381,2,1,4,2,2,1,1,9_3 HO,Convertible
33358.76777,17590,2,1,4,2,2,1,1,9_3 HO,Convertible
33586.90609,18930,2,1,4,2,2,0,1,9_3 HO,Convertible
30731.94165,22479,2,1,4,2,2,0,0,9_3 HO,Convertible
30315.16944,23635,2,1,4,2,2,0,0,9_3 HO,Convertible
30166.85251,25049,2,1,4,2,2,0,0,9_3 HO,Convertible
30251.01842,27558,2,1,4,2,2,0,1,9_3 HO,Convertible
29142.71439,31655,2,1,4,2,2,1,1,9_3 HO,Convertible
29612.15405,32477,2,1,4,2,2,1,1,9_3 HO,Convertible
26841.08084,10003,2,2,4,2,4,1,0,9_3 HO,Sedan
27825.94997,10014,2,2,4,2,4,0,1,9_3 HO,Sedan
27284.75133,14281,2,2,4,2,4,1,1,9_3 HO,Sedan
27060.13756,17319,2,2,4,2,4,0,1,9_3 HO,Sedan
25618.28188,20208,2,2,4,2,4,0,1,9_3 HO,Sedan
25790.51414,21160,2,2,4,2,4,1,1,9_3 HO,Sedan
25148.37919,22272,2,2,4,2,4,1,1,9_3 HO,Sedan
24852.49528,22814,2,2,4,2,4,1,1,9_3 HO,Sedan
24173.52588,27015,2,2,4,2,4,0,0,9_3 HO,Sedan
23733.40225,27600,2,2,4,2,4,1,0,9_3 HO,Sedan
38324.80908,12090,2,1,4,2,2,1,1,9_3 HO,Convertible
38167.17358,13162,2,1,4,2,2,0,1,9_3 HO,Convertible
37383.50349,16088,2,1,4,2,2,0,1,9_3 HO,Convertible
36338.75133,18195,2,1,4,2,2,1,0,9_3 HO,Convertible
35580.33231,21167,2,1,4,2,2,1,0,9_3 HO,Convertible
35304.4947,21293,2,1,4,2,2,0,1,9_3 HO,Convertible
