Year,League,Franchise,Rank,Gamesplayed,Gamesplayedathome,Wins,Losses,DivisionWinner,WildCardWinner,LeagueChampion,WorldSeriesWinner,RunsScored,Atbats,Hitsbybatters,Doubles,Triples,Homerunsbybatters,Walksbybatters,Strikeoutsbybatters,Stolenbases,Caughtstealing,Battershitbypitch,Sacrificeflies,Opponentsrunsscored,Earnedrunsallowed,Earnedrunaverage,Completegames,Shutouts,Saves,Outspitched,Hitsallowed,Homerunsallowed,Walksallowed,Strikeoutsbypitchers,Errors,Doubleplays,Fieldingpercentage,Homeattendancetotal,Battersparkfactor,Pitchersparkfactor
1998,AL,ANA,2,162,81,85,77,0,0,0,0,787,5630,1530,314,27,147,510,1028,93,45,48,41,783,720,4.49,3,5,52,4332,1481,164,630,1091,106,146,0.983,2519280,102,102
1998,AL,BAL,4,162,81,79,83,0,0,0,0,817,5565,1520,303,11,214,593,903,86,48,58,44,785,754,4.74,16,10,37,4294,1505,169,535,1065,81,144,0.987,3684650,98,97
1998,AL,BOS,2,162,81,92,70,0,1,0,0,876,5601,1568,338,35,205,541,1049,72,39,70,52,729,667,4.18,5,8,53,4308,1406,168,504,1025,105,128,0.983,2314704,102,101
1998,AL,CHW,2,163,81,80,82,0,0,0,0,861,5585,1516,291,38,198,551,916,127,46,47,59,931,835,5.22,8,4,42,4316,1569,211,580,911,140,161,0.977,1391146,98,98
1998,AL,CLE,1,162,81,89,73,1,0,0,0,850,5616,1530,334,30,198,630,1061,143,60,41,59,779,721,4.44,9,4,47,4380,1552,171,563,1037,110,146,0.982,3467299,103,102
1998,AL,DET,5,162,81,65,97,0,0,0,0,722,5664,1494,306,29,165,455,1070,122,62,62,45,863,792,4.93,9,4,32,4339,1551,185,595,947,115,164,0.982,1409391,100,101
1998,AL,KCR,3,161,80,72,89,0,0,0,0,714,5546,1459,274,40,134,475,984,135,50,60,65,899,822,5.15,6,5,46,4309,1590,196,568,999,125,172,0.98,1494875,101,102
1998,AL,MIN,4,162,81,70,92,0,0,0,0,734,5641,1499,285,32,115,506,915,112,54,45,52,818,764,4.75,7,8,42,4343,1622,180,457,952,108,135,0.982,1165976,101,102
1998,AL,NYY,1,162,81,114,48,1,0,1,1,965,5643,1625,290,31,207,653,1025,153,63,57,59,656,619,3.82,22,16,48,4370,1357,156,466,1080,98,146,0.984,2955193,97,95
1998,AL,OAK,4,162,81,74,88,0,0,0,0,804,5490,1413,295,13,149,633,1122,131,47,55,46,866,766,4.81,12,4,39,4302,1555,179,529,922,141,155,0.977,1232343,96,97
