Year,ANA,,ARI,,ATL,,BAL,,BOS,,CHC,,CHW,,CIN,,CLE,,COL,,DET,,FLA,,HOU,,KCR,,LAD,,MIL,,MIN,,NYM,,NYY,,OAK,,PHI,,PIT,,SDP,,SEA,,SFG,,STL,,TBD,,TEX,,TOR,,WSN,
1998,0.004572863,0.000685871,0.023334206,0.000685871,0.080809298,0.000685871,0.013236834,0.000685871,0.042316149,0.000685871,0.000257673,0.000685871,0.000403061,0.000685871,0.00212083,0.000685871,0.00079849,0.000685871,0.025073839,0.000685871,0.00584593,0.000685871,0.005440026,0.000685871,0.00305623,0.000685871,0.001114656,0.000685871,0.02115839,0.000685871,0.001018713,0.000685871,4.91E-05,0.000685871,0.000349071,0.000685871,0.797287758,0.5,0.002479153,0.000685871,0.001892727,0.000685871,0.003115218,0.000685871,0.286788458,0.5,0.022377947,0.000685871,0.00065193,0.000685871,0.000179374,0.000685871,0.003858228,0.000685871,0.001802018,0.000685871,0.005901138,0.000685871,0.020225567,0.000685871
1999,0.003811677,0.000685871,0.009514457,0.000685871,0.443956175,0.5,0.036949598,0.000685871,0.008159614,0.000685871,0.000932055,0.000685871,1.38E-05,0.000685871,0.025227344,0.000685871,0.007428026,0.000685871,0.006373158,0.000685871,0.173213136,0.000685871,0.004279652,0.000685871,0.000106022,0.000685871,0.033308071,0.000685871,0.006614881,0.000685871,0.000144319,0.000685871,5.99E-06,0.000685871,0.002049796,0.000685871,0.729677967,0.5,0.002842498,0.000685871,0.00593282,0.000685871,0.014555288,0.000685871,0.000457743,0.000685871,0.001514689,0.000685871,0.006244792,0.000685871,0.009370529,0.000685871,0.005115149,0.000685871,0.000264236,0.000685871,0.016060302,0.000685871,0.126511706,0.000685871
2000,0.007505624,0.000685871,0.005479537,0.000685871,0.008978301,0.000685871,0.079695127,0.000685871,0.000754896,0.000685871,0.006414643,0.000685871,0.015959419,0.000685871,0.000688391,0.000685871,0.004986737,0.000685871,0.002524666,0.000685871,0.000939139,0.000685871,0.001919203,0.000685871,0.042182187,0.000685871,0.00080606,0.000685871,0.009673369,0.000685871,0.000138712,0.000685871,4.24E-05,0.000685871,0.393122442,0.5,0.858476236,0.5,0.000646157,0.000685871,0.003443214,0.000685871,0.042470388,0.000685871,0.006196919,0.000685871,0.002095231,0.000685871,0.011121199,0.000685871,0.050390703,0.000685871,0.000449733,0.000685871,0.001754436,0.000685871,0.006322735,0.000685871,0.00192198,0.000685871
2001,0.002471808,0.000685871,0.48525378,0.5,0.000725084,0.000685871,0.002979513,0.000685871,0.020530263,0.000685871,0.027974808,0.000685871,0.006382026,0.000685871,0.001619102,0.000685871,0.050585873,0.000685871,0.134955559,0.000685871,0.022852291,0.000685871,0.058762988,0.000685871,0.014498384,0.000685871,0.001393079,0.000685871,0.011395538,0.000685871,0.068029053,0.000685871,0.017358096,0.000685871,0.001088423,0.000685871,0.055020415,0.5,0.009670055,0.000685871,0.000515323,0.000685871,0.154018888,0.000685871,0.000146274,0.000685871,0.029183354,0.000685871,0.006027001,0.000685871,0.009630271,0.000685871,0.014289915,0.000685871,0.011305398,0.000685871,0.001588386,0.000685871,0.002481306,0.000685871
2002,0.818295442,0.5,0.003941876,0.000685871,4.72E-05,0.000685871,0.008631507,0.000685871,0.059732835,0.000685871,0.012746107,0.000685871,0.006236759,0.000685871,0.001653198,0.000685871,0.050801247,0.000685871,0.004006318,0.000685871,0.012004554,0.000685871,0.00327421,0.000685871,0.001309607,0.000685871,0.006082726,0.000685871,0.027135435,0.000685871,0.010608824,0.000685871,0.00146372,0.000685871,0.020799317,0.000685871,0.014813196,0.000685871,0.003064258,0.000685871,0.007916,0.000685871,0.00234557,0.000685871,0.000192308,0.000685871,0.000299455,0.000685871,0.207826146,0.5,0.025165011,0.000685871,0.012825807,0.000685871,0.022376214,0.000685871,0.003067596,0.000685871,0.000368453,0.000685871
2003,0.006485567,0.000685871,0.003674461,0.000685871,0.017425936,0.000685871,8.59E-05,0.000685871,0.007490104,0.000685871,0.075119822,0.000685871,0.051821314,0.000685871,0.005595312,0.000685871,0.006697678,0.000685871,0.001759418,0.000685871,0.00083547,0.000685871,0.711267609,0.5,0.032712129,0.000685871,0.035941335,0.000685871,0.058087583,0.000685871,0.000975323,0.000685871,0.001222646,0.000685871,0.001471774,0.000685871,0.068351555,0.5,0.010627415,0.000685871,0.014292657,0.000685871,0.018787957,0.000685871,0.002961158,0.000685871,0.007346706,0.000685871,0.002672072,0.000685871,0.006473163,0.000685871,0.042656803,0.000685871,0.007519256,0.000685871,0.030017872,0.000685871,0.000218217,0.000685871
2004,0.046737311,0.000685871,0.025800937,0.000685871,0.000349511,0.000685871,0.035086035,0.000685871,0.759499128,0.5,0.001001303,0.000685871,0.009567881,0.000685871,0.005327538,0.000685871,0.025978953,0.000685871,0.008165414,0.000685871,0.022712451,0.000685871,0.006337368,0.000685871,0.003439076,0.000685871,0.003958423,0.000685871,0.006099928,0.000685871,0.003422441,0.000685871,0.000377384,0.000685871,0.003888134,0.000685871,0.005802401,0.000685871,0.000541993,0.000685871,0.000419321,0.000685871,0.063486293,0.000685871,0.000453882,0.000685871,0.001779291,0.000685871,0.01537379,0.000685871,0.198669027,0.5,0.017378413,0.000685871,0.003107727,0.000685871,0.004981831,0.000685871,0.0001513,0.000685871
2005,0.000849969,0.000685871,0.000269586,0.000685871,0.000926636,0.000685871,0.015398471,0.000685871,0.000661941,0.000685871,0.039198264,0.000685871,0.579828616,0.5,1.15E-05,0.000685871,0.004478283,0.000685871,0.002810017,0.000685871,0.003388866,0.000685871,0.039354988,0.000685871,0.111096415,0.5,0.012510859,0.000685871,0.018153701,0.000685871,0.035296633,0.000685871,0.000301873,0.000685871,0.005573467,0.000685871,0.012993227,0.000685871,0.005239637,0.000685871,0.001842456,0.000685871,0.012432144,0.000685871,0.00125407,0.000685871,0.007095896,0.000685871,0.015066491,0.000685871,0.015643696,0.000685871,0.043391044,0.000685871,0.004572727,0.000685871,0.006667213,0.000685871,0.024532108,0.000685871
2006,0.013241177,0.000685871,0.008856017,0.000685871,0.002949879,0.000685871,0.014159644,0.000685871,0.000111775,0.000685871,0.092999823,0.000685871,0.000900698,0.000685871,6.17E-05,0.000685871,0.001298811,0.000685871,0.01253228,0.000685871,0.544820567,0.5,0.046962891,0.000685871,0.002693056,0.000685871,0.011339165,0.000685871,0.004963819,0.000685871,0.069830776,0.000685871,9.44E-05,0.000685871,0.067166983,0.000685871,0.047558627,0.000685871,2.88E-05,0.000685871,0.00222645,0.000685871,0.003570281,0.000685871,0.000874268,0.000685871,0.013409961,0.000685871,0.293264023,0.000685871,0.792182259,0.5,0.000861907,0.000685871,0.000739457,0.000685871,0.013057663,0.000685871,0.01577729,0.000685871
2007,0.001938605,0.000685871,0.001305845,0.000685871,0.002117064,0.000685871,0.03348928,0.000685871,0.688227367,0.5,0.014857168,0.000685871,0.001076094,0.000685871,0.000499235,0.000685871,0.000647817,0.000685871,0.385944319,0.5,0.040893063,0.000685871,0.012731511,0.000685871,0.000430214,0.000685871,0.014555255,0.000685871,0.002755966,0.000685871,0.023211207,0.000685871,0.00023656,0.000685871,0.015063798,0.000685871,0.12907879,0.000685871,0.000154049,0.000685871,0.009933285,0.000685871,0.001725716,0.000685871,0.003721596,0.000685871,0.012939616,0.000685871,0.004179342,0.000685871,0.00515565,0.000685871,0.000724735,0.000685871,0.019278702,0.000685871,0.006373916,0.000685871,0.001485596,0.000685871
